text,label
I have half a mind to hit you before you speak again .,0
"But if Antony is alive , healthy , friendly with Caesar , and not Caesar's prisoner , I'll shower you with gold and pearls .",0
"Madam , he's well .",0
That's well spoken .,0
And he's friendly with Caesar .,0
You are an honest man .,0
Caesar and he are better friends than ever .,0
I'm going to make you a rich man .,0
"But yet , madam , I don't like the sound of ""but yet."" It reverses all the good that came before it .",0
"Damn those words , ""but yet ! "" ""But yet"" is like a jailer about to bring out some horrible criminal .",0
"Please , my friend , give me all the news , both good and bad , at the same time .",0
"You say he's friendly with Caesar , healthy , and free .",0
"I didn't say free , madam .",0
"No , I didn't say that .",0
He's bound to Octavia .,0
For what favor ?,0
For the favor of sleeping in her bed .,0
"I'm sick , Charmian .",0
"He's married to Octavia , madam .",0
May you die of the worst disease !,0
"Good madam , be patient .",0
What did you say to me ?,0
"Get out , you horrible bastard , or I'll gouge out your eyes .",0
I'll scalp you .,0
"I'll have you whipped with wire and soaked in brine like a pickle , making your pain linger .",0
"If you say it isn't true , I'll give you a province and make you rich .",0
The blows I gave you already will make up for your upsetting me .,0
"He's married , madam .",0
"Rogue , you've lived too long !",0
"No way , then , I'll run .",0
"What's the matter with you , madam ?",0
I haven't done anything to you .,0
"Good madam , restrain yourself .",0
The man hasn't done anything wrong .,0
Even innocents can not always escape disaster .,0
May Egypt drown in the Nile and all good creatures turn into poisonous snakes .,0
Call that servant back .,0
"Even though I'm mad , I won't bite him .",0
Call him !,0
He's afraid to come in .,0
I won't hurt him .,0
"My hands are tainted if they hit an inferior , especially since I myself am the cause of my own distress .",0
"Come here , sir .",0
"It may be honest , but it's never wise to bring bad news .",0
"You can give good news in many ways , but let bad news interpret itself as you tell it .",0
I've only done my duty .,0
Is he married ?,0
May the gods destroy you !,0
Do you maintain the same story ?,0
"Do you want me to lie , madam ?",0
"Go , get out !",0
Even if you were as handsome as I beg your highness' pardon .,0
Is he really married ?,0
Please don't be offended that I don't want to offend you any more .,0
It's not fair to punish me for something you make me do .,0
He's married to Octavia .,0
It's too bad that Antony's fault should make you look like a jerk .,0
Go away .,0
The merchandise you bring from Rome is too expensive for me .,0
Let it stay in your inventory until it bankrupts you .,0
"Be patient , your highness .",0
"When I have praised Antony , I've disparaged Caesar .",0
"Many times , madam .",0
I'm being repaid for that now .,0
Help me out of here .,0
"Oh , Iras , Charmian !",0
It doesn't matter .,0
How old is she ?,0
Don't let him leave out the color of her hair .,0
