English,Shakespearean
I have half a mind to hit you before you speak again .,I have a mind to strike thee ere thou speak'st .
"But if Antony is alive , healthy , friendly with Caesar , and not Caesar's prisoner , I'll shower you with gold and pearls .","Yet if thou say Antony lives , is well , Or friends with Caesar , or not captive to him , I'll set thee in a shower of gold and hail Rich pearls upon thee ."
"Madam , he's well .","Madam , he's well ."
That's well spoken .,Well said .
And he's friendly with Caesar .,And friends with Caesar .
You are an honest man .,Th' art an honest man .
Caesar and he are better friends than ever .,Caesar and he are greater friends than ever .
I'm going to make you a rich man .,Make thee a fortune from me .
"But yet , madam , I don't like the sound of ""but yet."" It reverses all the good that came before it .","But yet , madam , I do not like ""But yet."" It does allay The good precedence ."
"Damn those words , ""but yet ! "" ""But yet"" is like a jailer about to bring out some horrible criminal .","Fie upon ""But yet."" ""But yet"" is as a jailer to bring forth Some monstrous malefactor ."
"Please , my friend , give me all the news , both good and bad , at the same time .","Prithee , friend , Pour out the pack of matter to mine ear , The good and bad together ."
"You say he's friendly with Caesar , healthy , and free .","He's friends with Caesar , In state of health , thou say'st , and , thou say'st , free ."
"I didn't say free , madam .","Free , madam , no ."
"No , I didn't say that .",I made no such report .
He's bound to Octavia .,He's bound unto Octavia .
For what favor ?,For what good turn ?
For the favor of sleeping in her bed .,For the best turn i' th' bed .
"I'm sick , Charmian .","I am pale , Charmian ."
"He's married to Octavia , madam .","Madam , he's married to Octavia ."
May you die of the worst disease !,The most infectious pestilence upon thee !
"Good madam , be patient .","Good madam , patience ."
What did you say to me ?,What say you ?
"Get out , you horrible bastard , or I'll gouge out your eyes .","Hence , horrible villain , or I'll spurn thine eyes Like balls before me !"
I'll scalp you .,I'll unhair thy head !
"I'll have you whipped with wire and soaked in brine like a pickle , making your pain linger .","Thou shalt be whipped with wire and stewed in brine , Smarting in ling'ring pickle !"
"If you say it isn't true , I'll give you a province and make you rich .","Say 'tis not so , a province I will give thee And make thy fortunes proud ."
The blows I gave you already will make up for your upsetting me .,"The blow thou hadst Shall make thy peace for moving me to rage , And I will boot thee with what gift beside Thy modesty can beg ."
"He's married , madam .","He's married , madam ."
"Rogue , you've lived too long !","Rogue , thou hast lived too long ."
"No way , then , I'll run .","Nay then , I'll run ."
"What's the matter with you , madam ?","What mean you , madam ?"
I haven't done anything to you .,I have made no fault .
"Good madam , restrain yourself .","Good madam , keep yourself within yourself ."
The man hasn't done anything wrong .,The man is innocent .
Even innocents can not always escape disaster .,Some innocents 'scape not the thunderbolt .
May Egypt drown in the Nile and all good creatures turn into poisonous snakes .,"Melt Egypt into Nile , and kindly creatures Turn all to serpents ."
Call that servant back .,Call the slave again .
"Even though I'm mad , I won't bite him .","Though I am mad , I will not bite him ."
Call him !,Call !
He's afraid to come in .,He is afeard to come .
I won't hurt him .,I will not hurt him .
"My hands are tainted if they hit an inferior , especially since I myself am the cause of my own distress .","These hands do lack nobility that they strike A meaner than myself , since I myself Have given myself the cause ."
"Come here , sir .","Come hither , sir ."
"It may be honest , but it's never wise to bring bad news .","Though it be honest , it is never good To bring bad news ."
"You can give good news in many ways , but let bad news interpret itself as you tell it .","Give to a gracious message An host of tongues , but let ill tidings tell Themselves when they be felt ."
