,input,target
0,I have a plan to speak to thee.,I have a mind to strike thee ere thou speak'st .
1,"If Antony lives, is friends with Caesar, or is not captive to him, I'll give thee a shower of gold and Rich Pearls.","Yet if thou say Antony lives , is well , Or friends with Caesar , or not captive to him , I'll set thee in a shower of gold and hail Rich pearls upon thee ."
2,"He is well, Madame.","Madam , he's well ."
3,"Well said, that's right.",Well said .
4,They were friends with Caesar.,And friends with Caesar .
5,An honest man is what the art is about.,Th' art an honest man .
6,The two of them are better friends than ever.,Caesar and he are greater friends than ever .
7,I will make thee a lot of money.,Make thee a fortune from me .
8,"But yet, madam, I don't like ""But yet."" It allays the good precedence.","But yet , madam , I do not like ""But yet."" It does allay The good precedence ."
9,"""But yet"" is a jailer who will bring forth a monstrous malefactor.","Fie upon ""But yet."" ""But yet"" is as a jailer to bring forth Some monstrous malefactor ."
10,"Prithee Poured out the pack of matter to mine ear, The good and bad together.","Prithee , friend , Pour out the pack of matter to mine ear , The good and bad together ."
11,"He's friends with Caesar, In state of health, and free.","He's friends with Caesar , In state of health , thou say'st , and , thou say'st , free ."
12,"I am free, madam.","Free , madam , no ."
13,I did not make a report like that.,I made no such report .
14,He's bound to the other side.,He's bound unto Octavia .
15,What is the best turn?,For what good turn ?
16,The bed is the best one for the best turn.,For the best turn i' th' bed .
17,"I am pale, Charmian.","I am pale , Charmian ."
18,He's married to a woman named Octavia.,"Madam , he's married to Octavia ."
19,The most infectious pestilence on the planet!,The most infectious pestilence upon thee !
20,"Good lady, good patience.","Good madam , patience ."
21,What do you think about it?,What say you ?
22,I'll either be a horrible villain or I'll spurn eyes like balls before me.,"Hence , horrible villain , or I'll spurn thine eyes Like balls before me !"
23,I'll cut the hair on his head.,I'll unhair thy head !
24,Thou shalt be whipped with wire and brined in ling'ring pickle.,"Thou shalt be whipped with wire and stewed in brine , Smarting in ling'ring pickle !"
25,I will give thee a province that will make your fortunes proud.,"Say 'tis not so , a province I will give thee And make thy fortunes proud ."
26,"The blow the hadst will make peace for moving me to rage, and I will boot thee with what gift beside modesty can ask for.","The blow thou hadst Shall make thy peace for moving me to rage , And I will boot thee with what gift beside Thy modesty can beg ."
27,He's married to a woman.,"He's married , madam ."
28,It has been too long for Rogue.,"Rogue , thou hast lived too long ."
29,I'll run after that.,"Nay then , I'll run ."
30,"What are you talking about, madam?","What mean you , madam ?"
31,I have not made a mistake.,I have made no fault .
32,"Keep yourself within yourself, good madam.","Good madam , keep yourself within yourself ."
33,The man is not guilty of anything.,The man is innocent .
34,Some innocents arescape not the thunderbolt.,Some innocents 'scape not the thunderbolt .
35,Egypt should be melted into the Nile and kindly creatures should be turned to serpents.,"Melt Egypt into Nile , and kindly creatures Turn all to serpents ."
36,The slave should be called again.,Call the slave again .
37,"I will not bite him, even though I am angry.","Though I am mad , I will not bite him ."
38,You can call!,Call !
39,He is afraid of coming.,He is afeard to come .
40,I don't plan on hurting him.,I will not hurt him .
41,I have given myself the cause and these hands don't have nobility since they strike a meaner than me.,"These hands do lack nobility that they strike A meaner than myself , since I myself Have given myself the cause ."
42,"Sir, come hither.","Come hither , sir ."
43,It is never a good idea to bring bad news.,"Though it be honest , it is never good To bring bad news ."
44,"Let ill tidings tell themselves when they are felt, but give a gracious message.","Give to a gracious message An host of tongues , but let ill tidings tell Themselves when they be felt ."
45,I have fulfilled my duty.,I have done my duty .
46,Is he married to someone?,Is he married ?
47,The gods are difficult to understand.,The gods confound thee !
48,Dost you hold there still?,Dost thou hold there still ?
49,"I wonder if I should tell the truth, madam.","Should I lie , madam ?"
50,Get thee therefore.,"Go , get thee hence ."
51,I want your highness' forgiveness.,I crave your highness' pardon .
52,He is married to another person.,He is married ?
53,"I would not offend you, so take no offense.",Take no offense that I would not offend you .
54,It seems like punishment for what you make me do is not equal.,To punish me for what you make me do Seems much unequal .
55,He is married to another person.,He's married to Octavia .
56,"That his fault should make a knave of thee, that art is not what it seems.","Oh , that his fault should make a knave of thee , That art not what th' art sure of !"
57,"Therefore, get thee.",Get thee hence .
58,The merchandise which he has brought from Rome are very dear to me.,The merchandise which thou hast brought from Rome Are all too dear for me .
59,Lie them upon their hand and be undone by them.,Lie they upon thy hand And be undone by 'em !
60,"Good highness, patience, and good disposition.","Good your highness , patience ."
61,I have dispraised Caesar because I praise Antony.,"In praising Antony , I have dispraised Caesar ."
62,"madam, many times.","Many times , madam ."
63,I have been paid for now.,I am paid for 't now .
64,You should lead me from now on.,Lead me from hence .
65,"Charmian, O Iras.","O Iras , Charmian !"
66,Go to the fellow and have a good time.,"Tis no matter. , Go to the fellow , good Alexas ."
67,"The feature of Octavia was her years, her inclination.","Bid him Report the feature of Octavia : her years , Her inclination ."
68,He should not leave out the color of her hair.,Let him not leave out The color of her hair .
69,I need to know how tall she is.,Bring me word how tall she is .
70,I need you to lead me to my chamber.,Lead me to my chamber .
71,Where is the soothsayer that you praised so to the Queen?,"Lord Alexas , sweet Alexas , most anything Alexas , almost most absolute Alexas , where's the soothsayer that you praised so to th' Queen ?"
72,"You say that this husband must charge his horns with garlands, I knew him.","Oh that I knew this husband , which , you say , must charge his horns with garlands !"
73,"I make not, but anticipate.","I make not , but foresee ."
74,"Allow me to one, then pray for it.","Pray , then , foresee me one ."
75,You shall paint when you are older.,"No , you shall paint when you are old ."
76,Wrinkles are not allowed!,Wrinkles forbid !
77,He wasn't Aupair not his prescience.,Vex not his prescience .
78,Be attentive and attentive.,Be attentive .
79,It's Hush!,Hush !
80,You will be more affectionate than beloved.,You shall be more beloving than beloved .
81,"We come to words first, and therefore have our written purposes before us, which we should let you know if you have not considered.","Most meet That first we come to words , and therefore have we Our written purposes before us sent , Which , if thou hast considered , let us know If 'twill tie up thy discontented sword And carry back to Sicily much tall youth That else must perish here ."
82,What was that that moved pale to the point of being a spy?,What was 't That moved pale Cassius to conspire ?
83,Take your time and enjoy it.,Take your time .
84,"Pompey, with your sails, Thou canst not fear us.","Thou canst not fear us , Pompey , with thy sails ."
85,We will speak with thee at sea.,We'll speak with thee at sea .
86,How much we do at land is not known.,"At land , thou know'st How much we do o'ercount thee ."
87,"Since the cuckoo doesn't build for himself, leave my father's house as you please.","At land indeed Thou dost o'ercount me of my father's house , But since the cuckoo builds not for himself , Remain in 't as thou mayst ."
88,"Tell us how you are taking the offers we have sent you, for this is from the present.","Be pleased to tell us , For this is from the present , how you take The offers we have sent you ."
89,There's a point to it.,There's the point .
90,What it is worth embracing is not something that should be entreated to.,"Which do not be entreated to , but weigh What it is worth embraced ."
91,You made me offer Sicily and Sardinia.,"You have made me offer Of Sicily , Sardinia ."
92,"To send Measures of wheat to Rome, I must Rid the sea of pirates.","And I must Rid all the sea of pirates , then , to send Measures of wheat to Rome ."
93,This greeded upon to part with unhacked edges and bear back Our targes.,This 'greed upon To part with unhacked edges and bear back Our targes undinted .
94,That's the offer we have.,That's our offer .
95,Mark Antony put me to some impatience because a man was prepared to accept the offer.,"Know then I came before you here a man prepared To take this offer , but Mark Antony Put me to some impatience ."
96,I'll let you have your hand.,Let me have your hand .
97,I didn't think that you had met me here.,"I did not think , sir , to have met you here ."
98,"Thanks to you, the beds in the East are soft, and that made me timelier than I wanted to be.","The beds i' th' East are soft , and thanks to you , That called me timelier than my purpose hither , For I have gained by 't ."
99,I know that she won't come to my heart to make my heart her own.,"Well , I know not What counts harsh Fortune casts upon my face , But in my bosom shall she never come To make my heart her vassal ."
100,"Well met here, well met here.",Well met here .
101,"I hope that is the case, Lepidus.","I hope so , Lepidus ."
102,Thus we are agreed.,Thus we are agreed .
103,That is the next thing to do.,That's the next to do .
104,"We'll feast each other, and let's draw lots who will begin.","We'll feast each other ere we part , and let's Draw lots who shall begin ."
105,"That will be me, Pompey.","That will I , Pompey ."
106,"No, Antony, take the whole lot.","No , Antony , take the lot ."
107,"First or last, your fine Egyptian cookery will have the fame.","But , first or last , Your fine Egyptian cookery shall have The fame ."
108,I have heard that Julius Caesar was a big eater.,I have heard that Julius Caesar Grew fat with feasting there .
109,You have heard so much.,You have heard much .
110,"Sir, I have fair meanings.","I have fair meanings , sir ."
111,They were given fair words to say.,And fair words to them .
112,I have not heard much since.,Then so much have I heard .
113,"I pray that Apollodorus carries, what, I have heard that?","And I have heard Apollodorus carried , What , I pray you ?"
114,How far'st the soldier is?,"How far'st thou , soldier ?"
115,"Four feasts are toward, for I suppose.","Well , And well am like to do , for I perceive , Four feasts are toward ."
116,Let me shake hands with you.,Let me shake thy hand .
117,I didn't dislike thee at all.,I never hated thee .
118,I've watched the fight when I've envied the behavior of the person.,I have seen thee fight When I have envied thy behavior .
119,"I didn't like you very much, but I praised you because you have been well deserved ten times as much as I have said you did.","Sir , I never loved you much , but I ha' praised ye When you have well deserved ten times as much As I have said you did ."
120,Enjoy your plainness.,Enjoy thy plainness .
121,I invite you all to join me in the galley.,"It nothing ill becomes thee. , Aboard my galley I invite you all ."
122,"Are you going to lead, lords?","Will you lead , lords ?"
123,"Show's the way', sir.","Show 's the way , sir ."
124,Come and see it.,Come .
125,I think it's at the sea.,"At sea , I think ."
126,"We have that, sir.","We have , sir ."
127,You have done well by the water.,You have done well by water .
128,You are by land.,And you by land .
129,"I will praise any man that will praise me, even though it can not be denied what I have done by land.","I will praise any man that will praise me , though it can not be denied what I have done by land ."
130,What I have done by the water is not known.,Nor what I have done by water .
131,"You have been a great thief by sea, that's something you can deny for your own safety.","Yes , something you can deny for your own safety : you have been a great thief by sea ."
132,You are by land.,And you by land .
133,My land service is denied there.,There I deny my land service .
134,"But give me your hand, Menas.","But give me your hand , Menas ."
135,"If our eyes had authority, they could take two thieves kissing each other.","If our eyes had authority , here they might take two thieves kissing ."
136,"All men's faces are true, what some of their hands are.","All men's faces are true , whatsome'er their hands are ."
137,There is never a fair woman who has a real face.,But there is never a fair woman has a true face .
138,There is no defamation.,No slander .
139,They steal people's hearts.,They steal hearts .
140,We went to fight with you.,We came hither to fight with you .
141,I am sorry that it is turned to a drinking.,"For my part , I am sorry it is turned to a drinking ."
142,"This day, Pompey laugh away his fortune.",Pompey doth this day laugh away his fortune .
143,"If he does that, he will not be able to weep again.","If he do , sure he can not weep 't back again ."
144,"You have said that, sir.","You've said , sir ."
145,We did not look for Mark Antony here.,We looked not for Mark Antony here .
146,Do you know if he is married to Cleopatra.,"Pray you , is he married to Cleopatra ?"
147,Caesar's sister is also called Octavia.,Caesar's sister is called Octavia .
148,"Sir, it's true.","True , sir ."
149,She was the wife of a man named Caius.,She was the wife of Caius Marcellus .
150,She is now married to Marcus Antonius.,But she is now the wife of Marcus Antonius .
151,"Sir, please pray for me.","Pray ye , sir ?"
152,It is true.,Tis true .
153,Then is Caesar and he forever intertwined.,Then is Caesar and he forever knit together .
154,I wouldn't prophesy so if I were bound to divine of this unity.,"If I were bound to divine of this unity , I would not prophesy so ."
155,The policy of that purpose made more of a difference in the marriage than the love of the parties did.,I think the policy of that purpose made more in the marriage than the love of the parties .
156,I think so as well.,I think so too .
157,The band that seems to tie their friendship together is the one that will be the most possessive of their amity.,But you shall find the band that seems to tie their friendship together will be the very strangler of their amity .
158,Octavia is a cold person and still has a conversation.,"Octavia is of a holy , cold , and still conversation ."
159,Who would not want to have a wife?,Who would not have his wife so ?
160,Mark Antony is not that himself is not.,"Not he that himself is not so , which is Mark Antony ."
161,He will bring his Egyptian dish again.,He will to his Egyptian dish again .
162,"The author of their variance will be proved by the strength of their amity, as I said before, after the sighs of Octavia blow the fire up in Caesar.","Then shall the sighs of Octavia blow the fire up in Caesar , and , as I said before , that which is the strength of their amity shall prove the immediate author of their variance ."
163,Antony will use his affection where it is most appropriate.,Antony will use his affection where it is .
164,He was married here but his occasion was here.,He married but his occasion here .
165,And thus it could be.,And thus it may be .
166,"Come, sir, will you join us?","Come , sir , will you aboard ?"
167,I have a plan for your health.,I have a health for you .
168,"I am going to take it, sir.","I shall take it , sir ."
169,Our throats have been used in Egypt.,We have used our throats in Egypt .
170,"Let's leave, come.","Come , let's away ."
171,"Here they will be, man.","Here they'll be , man ."
172,Some of their plants are not growing well.,Some o' their plants are ill-rooted already .
173,Lepidus is a high-colored plant.,Lepidus is high-colored .
174,They have made him drink water.,They have made him drink alms-drink .
175,I did not have a reed that would do me any service as a partisan.,I had as lief have a reed that will do me no service as a partisan I could not heave .
176,They take the flow of the Nile by the scales of the Pyramid.,"Thus do they , sir : they take the flow o' th' Nile By certain scales i' th' Pyramid ."
177,"They know by the height, the mean, and the lowness.","They know By th' height , the lowness , or the mean , if dearth Or foison follow ."
178,"The higher the Nilus swells, the more it promises.",The higher Nilus swells The more it promises .
179,The seedsman scatters his grain as it ebbs and he comes to harvest soon after.,"As it ebbs , the seedsman Upon the slime and ooze scatters his grain , And shortly comes to harvest ."
180,There are strange serpents there.,You've strange serpents there ?
181,Lepidus is called Ay and Ay is called Lepidus.,"Ay , Lepidus ."
182,Your mud is the breeding ground for your serpent of Egypt.,Your serpent of Egypt is bred now of your mud by the operation of your sun .
183,I'll ne'er out because I'm not as well-equipped as I should be.,"I am not so well as I should be , but I'll ne'er out ."
184,Not until you have had a good night's sleep.,Not till you have slept .
185,I don't think you'll be here until then.,I fear me you'll be in till then .
186,I have heard that the Ptolemies' pyramises are very good.,"Nay , certainly , I have heard the Ptolemies' pyramises are very goodly things ."
187,I have heard that without a contradiction.,Without contradiction I have heard that .
188,What do you think about your crocodile?,What manner o' thing is your crocodile ?
189,"It is as broad as it can be, sir, and it is shaped like itself.","It is shaped , sir , like itself , and it is as broad as it hath breadth ."
190,It is so high that it can move with its own organs.,"It is just so high as it is , and moves with its own organs ."
191,It is its own color too.,Of it own color too .
192,The serpent is a strange one.,Tis a strange serpent .
193,Is that true?,Tis so .
194,And the tears of it are wet.,And the tears of it are wet .
195,The matter is related.,The matter ?
196,I've always held my cap off to my fortunes.,I have ever held my cap off to thy fortunes .
197,I have been served with a lot of faith by Thou.,Thou hast served me with much faith .
198,"Keep off these quicksands, Lepidus, for you to sink.","What's else to say ? , These quicksands , Lepidus , Keep off them , for you sink ."
199,What is it that sayst to you?,What sayst thou ?
200,Is it possible that you be the lord of the whole world?,Wilt thou be lord of the whole world ?
201,That's done twice.,That's twice .
202,How should that happen?,How should that be ?
203,"Don't listen, hear him.","Nay , hear him ."
204,"Good fortune right now, good!","Good now , some excellent fortune !"
205,I would like to be married to three kings in a forenoon and widows them all.,Let me be married to three kings in a forenoon and widow them all .
206,Excellent! Oh!,"Oh , excellent !"
207,My children will not have any names.,Then belike my children shall have no names .
208,I don't know how many boys and wenches I have.,"Prithee , how many boys and wenches must I have ?"
209,"If you had a million wishes, every one of them would have a womb.","If every of your wishes had a womb , And fertile every wish , a million ."
210,You don't think your sheets are aware of what you want.,You think none but your sheets are privy to your wishes .
211,We will know all of our fortunes.,We'll know all our fortunes .
212,"Most of our fortunes tonight will be drunk to bed, mine.","Mine , and most of our fortunes tonight , shall be , drunk to bed ."
213,Is it possible that you have drunk well?,Hast thou drunk well ?
214,"No, Pompey, I have kept you out of the cup.","No , Pompey , I have kept me from the cup ."
215,Show me which way to travel.,Show me which way .
216,Are these three world-sharers in the same boat?,"These three world-sharers , these competitors , Are in thy vessel ."
217,There is nothing more to say.,All there is thine .
218,This should have been done and not spoken about.,"Ah , this thou shouldst have done And not have spoke on 't !"
219,"In the villainy, In thee had been good service.","In me 'tis villainy , In thee 't had been good service ."
220,"It's not my profit that leads mine honor, it's mine honor, it's not my profit.","Thou must know , 'Tis not my profit that does lead mine honor ; Mine honor , it ."
221,Repent that Hath betrayed himself.,Repent that e'er thy tongue Hath so betrayed thine act .
